code,latest_close,rsi,rsi_low_days,boll_pos,vol_ratio,above_ma60,volatility,pullback_5d,pullback_20d,overnight_win_rate,ret_3d,name,is_hot_leader,hot_concept,hot_score,s_rsi,s_boll,s_vol,s_volatility,s_trend,s_flow_1d,s_flow_trend,s_overnight,s_hot,s_fundamental,total_score,sector,s_news
600422,12.06,40.19607843137254,0,-0.13739595788887526,1.4478562558024572,False,0.13337942731455332,-0.031325301204819134,-0.0636645962732919,0.45,-0.021897810218978075,昆药集团,False,,0.0,1.1716102345650514,1.2524971764132047,-0.507339210625959,1.810381881797896,-0.4388062930901646,0,0,0.16012497189262237,0.0,0,0.29797325472787684,医药,0.0
600894,9.65,63.478260869565275,0,0.6314013716624832,1.209859879161846,True,0.16953284157822168,-0.015306122448979664,-0.015306122448979664,0.4,-0.01329243353783216,广日股份,False,,0.0,-0.6820620096828729,-0.6224179842486298,0.24433988286839584,1.4001581950524076,0.2792403683301047,0,0,-0.4060311787277217,0.0,0,0.2894860492179702,其他,0.0
603220,27.01,58.28144458281446,0,0.890971752227426,0.7451075698084509,True,0.4221739433295039,-0.04760225669957674,-0.04760225669957674,0.55,-0.0033210332103320583,中贝通信,False,,0.0,-0.2683038005983588,-1.3931993978185149,1.7121966608801855,-1.4664967611851103,1.7153336911706432,0,0,1.2924372731333111,0.0,0,0.2871922613352127,科技,0.0
601311,9.64,61.935483870967744,0,0.5855557779230539,1.2116538585281906,True,0.20537567806689597,-0.01632653061224487,-0.033099297893681046,0.5,-0.013306038894575156,骆驼股份,False,,0.0,-0.559229757639651,-0.4862817599555544,0.23867384373420425,0.9934585561036251,0.2792403683301047,0,0,0.7262811225129664,0.0,0,0.2871593489539516,其他,0.0
002061,4.14,57.142857142857075,0,0.7448058547953181,1.313789785149106,True,0.16558351252161982,-0.004807692307692402,-0.016627078384798155,0.4,0.012224938875305513,浙江交科,False,,0.0,-0.177652164279417,-0.9591669909112728,-0.08390854940679776,1.444970237255525,0.2792403683301047,0,0,-0.4060311787277217,0.0,0,0.2859788381458101,其他,0.0
600223,7.22,43.75,0,0.01747600599167101,1.0690591479957599,False,0.19622251471021201,-0.03087248322147662,-0.06476683937823835,0.55,-0.010958904109588996,鲁商发展,False,,0.0,0.8886554133197738,1.2006030405241301,0.6890397873803294,1.0973171955720407,-0.4388062930901646,0,0,1.2924372731333111,0.0,0,0.2834538518473894,其他,0.0
301039,10.04,63.179916317991605,0,0.551735453333487,1.159179250643808,True,0.3745640517143402,-0.041984732824427606,-0.041984732824427606,0.45,-0.009861932938856177,中集车辆,False,,0.0,-0.6583085228290161,-0.3858539779497538,0.40440773532856006,-0.9262793111404941,1.7153336911706432,0,0,0.16012497189262237,0.0,0,0.27819440483981317,其他,0.0
002563,5.45,39.70588235294118,1,0.2158597563862819,1.0510659114751966,False,0.1802487299114317,-0.03880070546737213,-0.04886561954624791,0.5,-0.010889292196007205,森马服饰,False,,0.0,1.2106384857712955,0.6115123005650835,0.7458689706969742,1.2785677088332412,-0.4388062930901646,0,0,0.7262811225129664,0.0,0,0.2770897090708655,消费,0.0
603014,39.72,47.03832752613238,0,0.1011030612565131,1.2769543491149318,False,0.15658368100088638,-0.03169185763042426,-0.06099290780141842,0.5,-0.019985196150999363,威高血净,False,,0.0,0.6268465609336319,0.9522766339078139,0.032431151043552334,1.5470890589966206,-0.4388062930901646,0,0,0.7262811225129664,0.0,0,0.2705834536059648,其他,0.0
002219,2.47,64.81481481481482,0,0.6143583761921428,0.8543241631784263,True,0.3706944967521057,-0.07835820895522383,-0.07835820895522383,0.35,-0.04999999999999993,新里程,False,,0.0,-0.7884752704597034,-0.5718096516973453,1.367250947597944,-0.8823724454957921,1.7153336911706432,0,0,-0.9721873293480664,0.0,0,0.2679077881269194,其他,0.0
002617,9.1,60.07067137809188,0,0.6677586012962354,0.7493748823479436,True,0.41527691939112993,-0.040084388185654074,-0.04911180773249746,0.45,-0.02777777777777779,露笑科技,False,,0.0,-0.41075780197366424,-0.7303789803746001,1.6987189362752153,-1.3882379675083278,1.7153336911706432,0,0,0.16012497189262237,0.0,0,0.26596641417466427,科技,0.0
000935,28.81,63.235294117647044,0,0.8471264618178,0.8586463079961358,True,0.24039361232887607,-0.015379357484620715,-0.024381984422621183,0.55,0.007342657342657155,四川双马,False,,0.0,-0.6627175721284674,-1.2630029753809466,1.3536000427212147,0.5961188749771144,0.2792403683301047,0,0,1.2924372731333111,0.0,0,0.2629196770888433,其他,0.0
