code,ret_20d,ret_5d,volatility_20d,drawdown_20d,latest_close,roe,gross_margin,revenue_growth,net_profit_growth,debt_ratio,eps,bps,prev_eps,report_date,industry,name,pe,pb,ret_20d_adj,momentum_crash,revenue_growth_adj,net_profit_growth_adj,industry_group,composite_score,pe_raw,pb_raw,roe_raw,revenue_growth_raw,net_profit_growth_raw,volatility_raw,ret_20d_raw,ret_5d_raw,drawdown_raw,prev_eps_raw
600027,0.214483345597666,0.06134969325153383,0.9015900931125681,-0.005747126436781436,5.19,0.13735818349843237,-1.0988384526035466,-0.9805631601881181,-0.28706535376878733,-0.5294179753314661,0.54,4.192375428595,0.46,2025-09-30,未知,华电国际,0.8361076798615125,0.7365076427923238,0.03592814371257491,False,-9.7207706901,15.865507842,其他,0.0361927922647506,9.61111111111111,1.2379616492837182,12.73,-9.7207706901,15.865507842,0.15555929225775128,0.03592814371257491,0.06134969325153383,-0.005747126436781436,0.46
600027,0.214483345597666,0.06134969325153383,0.9015900931125681,-0.005747126436781436,5.19,0.13735818349843237,-1.0988384526035466,-0.9805631601881181,-0.28706535376878733,-0.5294179753314661,0.54,4.192375428595,0.46,2025-09-30,未知,华电国际,0.8361076798615125,0.7365076427923238,0.03592814371257491,False,-9.7207706901,15.865507842,其他,0.0361927922647506,9.61111111111111,1.2379616492837182,12.73,-9.7207706901,15.865507842,0.15555929225775128,0.03592814371257491,0.06134969325153383,-0.005747126436781436,0.46
600027,0.214483345597666,0.06134969325153383,0.9015900931125681,-0.005747126436781436,5.19,0.13735818349843237,-1.0988384526035466,-0.9805631601881181,-0.28706535376878733,-0.5294179753314661,0.54,4.192375428595,0.46,2025-09-30,未知,华电国际,0.8361076798615125,0.7365076427923238,0.03592814371257491,False,-9.7207706901,15.865507842,其他,0.0361927922647506,9.61111111111111,1.2379616492837182,12.73,-9.7207706901,15.865507842,0.15555929225775128,0.03592814371257491,0.06134969325153383,-0.005747126436781436,0.46
600027,0.214483345597666,0.06134969325153383,0.9015900931125681,-0.005747126436781436,5.19,0.13735818349843237,-1.0988384526035466,-0.9805631601881181,-0.28706535376878733,-0.5294179753314661,0.54,4.192375428595,0.46,2025-09-30,未知,华电国际,0.8361076798615125,0.7365076427923238,0.03592814371257491,False,-9.7207706901,15.865507842,其他,0.0361927922647506,9.61111111111111,1.2379616492837182,12.73,-9.7207706901,15.865507842,0.15555929225775128,0.03592814371257491,0.06134969325153383,-0.005747126436781436,0.46
600027,0.214483345597666,0.06134969325153383,0.9015900931125681,-0.005747126436781436,5.19,0.13735818349843237,-1.0988384526035466,-0.9805631601881181,-0.28706535376878733,-0.5294179753314661,0.54,4.192375428595,0.46,2025-09-30,未知,华电国际,0.8361076798615125,0.7365076427923238,0.03592814371257491,False,-9.7207706901,15.865507842,其他,0.0361927922647506,9.61111111111111,1.2379616492837182,12.73,-9.7207706901,15.865507842,0.15555929225775128,0.03592814371257491,0.06134969325153383,-0.005747126436781436,0.46
600027,0.214483345597666,0.06134969325153383,0.9015900931125681,-0.005747126436781436,5.19,0.13735818349843237,-1.0988384526035466,-0.9805631601881181,-0.28706535376878733,-0.5294179753314661,0.54,4.192375428595,0.46,2025-09-30,未知,华电国际,0.8361076798615125,0.7365076427923238,0.03592814371257491,False,-9.7207706901,15.865507842,其他,0.0361927922647506,9.61111111111111,1.2379616492837182,12.73,-9.7207706901,15.865507842,0.15555929225775128,0.03592814371257491,0.06134969325153383,-0.005747126436781436,0.46
002028,1.7539472189400027,-0.0069171724384149424,-1.7694604454282972,-0.03712517848643504,222.53,0.7172696295204314,0.23384336561145247,0.6437222227283433,0.3325021316370019,0.1665547880233017,2.81,18.506395021633,2.64,2025-09-30,未知,思源电气,-0.8036024188716075,-1.4540146523692252,0.17263002582073028,False,32.8588662097,46.9368838607,其他,0.01068588925703351,79.19217081850533,12.024492060170235,16.11,32.8588662097,46.9368838607,0.5642017477431622,0.17263002582073028,-0.0069171724384149424,-0.03712517848643504,2.64
600930,-0.24568674979809094,0.02023608768971341,1.0320667993175856,-0.008196721311475419,6.05,-0.7050575561370755,1.0827811284317712,-0.054062354339308845,-0.6006519777387735,-0.9931961263337649,0.19,2.645076315354,0.24,2025-09-30,未知,华电新能,0.3122239424007804,0.523415000221941,-0.004934210526315819,False,14.56687501264,0.13910492816,其他,0.0021032182625053686,31.842105263157894,2.2872685997304796,7.82,18.2085937658,0.1738811602,0.09254890858747168,-0.004934210526315819,0.02023608768971341,-0.008196721311475419,0.24
601058,-0.5799130842977307,-0.03764115432873272,-0.21656706384733204,-0.09391612522150028,15.34,0.3432439039796154,-0.26677922461306747,0.029413906823435025,-0.8320563079370222,-0.041261820199921646,0.88,6.407355120916,1.26,2025-09-30,未知,赛轮轮胎,0.6518090730711196,0.5017149526248417,-0.03461296412838266,False,16.7551535796,-11.4658471155,其他,-0.01003194552676857,17.43181818181818,2.3941235830560585,13.93,16.7551535796,-11.4658471155,0.32662549997102364,-0.03461296412838266,-0.03764115432873272,-0.09391612522150028,1.26
600161,-0.8624467445900926,0.0006108735491752171,0.5616745408283366,-0.06239267315397823,16.38,-0.8182947024017262,0.9921930094439231,-0.24290879478099334,-1.0452462670910925,1.8296664824936995,0.41,5.797114071283,0.78,2025-09-30,未知,天坛生物,0.12112888604719073,0.41410237723274196,-0.059701492537313605,False,9.6163823539,-22.1573464926,其他,-0.023210384754982535,39.951219512195124,2.825543847953785,7.16,9.6163823539,-22.1573464926,0.20756277326226572,-0.059701492537313605,0.0006108735491752171,-0.06239267315397823,0.78
