code,ret_20d,ret_5d,latest_close,roe,gross_margin,revenue_growth,net_profit_growth,debt_ratio,eps,bps,report_date,name,pe,pb,composite_score
688009,0.2534831717561288,0.01971326164874565,5.69,-1.0721667970129563,-0.1662324190844694,-0.5536427723364927,-0.566030454475387,-0.41699800272245874,0.22,4.351055552904,2025-09-30,中国通号,0.5327993871319064,0.7561800968766387,-0.23151962794823397
000630,1.9195042989006503,0.05625879043600546,7.51,-1.0090505374059433,-1.3302555918395036,-0.2490908412289054,-0.9189036830275829,-0.24088340478418035,0.14,2.693748642295,2025-09-30,铜陵有色,-0.07781582907802762,0.49954305048155034,-0.2579456410541352
002600,-0.1965008464865949,0.007843137254901933,15.42,-0.45152357754399297,-0.8581100482809051,-0.11401315725338468,-0.11575173891106404,-0.3735437642096313,0.28,3.184711282403,2025-09-30,领益智造,-0.10921726609677135,0.14343167968529003,-0.2638367508316125
601825,-0.5141020909344926,-0.02314814814814825,8.44,-0.5905765869906939,,-0.7740076084300425,-0.5225425093447824,-1.610120273941215,1.1,13.06,2025-09-30,沪农商行,0.9022579107625395,0.8045410389308639,-0.2831001555772269
002625,-0.44355870690846616,0.025526483726866722,48.21,-0.8275912910357802,1.17118203302473,0.0772596031719297,-0.38987719543392696,1.437445625394851,0.28,4.428874875329,2025-09-30,光启技术,-2.6833500657082854,-0.904384710936575,-0.4693511230735481
601136,-0.6434273989380194,-0.007210205213533105,17.9,-0.9091164596948389,,-0.42292462501193423,-0.45187205461827196,-1.2627801595042942,0.29,5.026019300138,2025-09-30,首创证券,-0.2554505098685416,0.36542910817078983,-0.48284461266001877
002384,0.38037996794310125,0.024406075554978424,78.91,-0.8788732519664785,-1.0240935969138591,-0.6131585915041183,-0.370027547613075,-0.5499387935456044,0.7,11.633960762551,2025-09-30,东山精密,-1.3765792641732668,-0.19307031269985667,-0.6499103570278331
300803,-1.1626709896159293,-0.03823208133770284,114.46,-0.47519217489662285,2.0257668796700017,0.5077016664112154,0.778724104196046,-1.610120273941215,0.38,4.574297697929,2025-12-31,指南针,-2.8667415079473564,-2.8915957278304925,-0.7348840119619047
688472,-1.1626709896159293,-0.03863785199738046,14.68,-1.127393524169093,-1.2012099765052386,-0.9305788453201995,-0.9193697859431363,-0.8819253935207576,0.27,6.366908985722,2025-09-30,阿特斯,-0.09380730163386931,0.5831577121345062,-0.7373384702219845
302132,-0.09781250919393386,0.03775758351465508,81.08,-0.23324651306973881,-1.3302555918395036,-0.4983692592375819,-0.9193697859431363,-1.5887578804546933,0.81,7.460463850268,2025-09-30,中航成飞,-1.0989634238832353,-0.901363371457815,-0.7700051189709786
301236,-0.7754297895285078,-0.014937933936461145,46.82,-1.1699969994038268,-1.1647791148298563,-0.25979033621782716,-0.19791523116720816,-0.6345344802593412,0.1,10.877105186745,2025-09-30,软通动力,-2.8667415079473564,0.23661063312515085,-0.9565839747715192
